Topic,Question,BT Level
Has-A Relationship,Examine the relationship between Has-A Relationship and memory usage in Java.,Analyze
Ternary Operator,Inspect a Java program using Ternary Operator and identify the logical flow.,Analyze
Serialization,Use Serialization to implement a small Java application.,Apply
Generics,Apply the concept of Generics to complete a partially written Java program.,Apply
Stack,Apply Stack to write a Java program that takes user input and produces output.,Apply
Object Class,Write a Java program to demonstrate Object Class.,Apply
toString Method,Evaluate the trade-offs involved in using toString Method in Java.,Evaluate
Throw and Throws,Examine the relationship between Throw and Throws and memory usage in Java.,Analyze
BufferedReader,Evaluate the effectiveness of using BufferedReader in a Java application.,Evaluate
HashSet,Explain the working of HashSet in Java in your own words.,Understand
Exception Handling,Examine the relationship between Exception Handling and memory usage in Java.,Analyze
Iterator,Critically assess the advantages and limitations of Iterator in Java.,Evaluate
Singleton Class,Differentiate between Singleton Class and a related concept in Java.,Understand
Deque,Evaluate two different approaches to implementing Deque in Java and recommend one.,Evaluate
Loops,Design a Java program that integrates Loops to solve a real-world problem.,Create
Stream API,State two characteristics of Stream API in Java.,Remember
Final Keyword,Explain the concept of Final Keyword in Java with an example.,Understand
Throw and Throws,Evaluate the correctness and quality of a Java solution that uses Throw and Throws.,Evaluate
ClassLoaderBasics,What is ClassLoaderBasics in Java?,Remember
File Handling,Create a new Java class hierarchy that demonstrates File Handling.,Create
Arrays,Identify the keyword used for Arrays in Java.,Remember
Association,Demonstrate the use of Association through a Java program.,Apply
Static Binding,Compare Static Binding with a related concept in Java and analyze the differences.,Analyze
Stack,Develop a complete Java application that uses Stack along with other concepts.,Create
Math Class,What are the components of Math Class in Java?,Remember
JVM Architecture,Design and build a Java module that applies JVM Architecture effectively.,Create
Loops,List the key features of Loops in Java.,Remember
Byte Streams,Develop a Java program that uses Byte Streams to handle a given scenario.,Apply
File Handling,Write a Java program to demonstrate File Handling.,Apply
super Keyword,Distinguish between correct and incorrect uses of super Keyword in Java with analysis.,Analyze
Classes and Objects,Build a Java solution that uses Classes and Objects and explain your design choices.,Create
Access Modifiers,Evaluate two different approaches to implementing Access Modifiers in Java and recommend one.,Evaluate
Character Streams,Classify the different forms of Character Streams in Java and explain each.,Understand
Character Streams,Analyze a given Java code segment using Character Streams and explain its behaviour.,Analyze
Thread Lifecycle,Identify the keyword used for Thread Lifecycle in Java.,Remember
Garbage Collection,Develop a complete Java application that uses Garbage Collection along with other concepts.,Create
Inheritance,Explain the working of Inheritance in Java in your own words.,Understand
toString Method,State the syntax of toString Method in Java.,Remember
Labeled Loops,What are the components of Labeled Loops in Java?,Remember
Wrapper Classes,State two characteristics of Wrapper Classes in Java.,Remember
Methods,Explain how Methods differs from its alternatives in Java.,Understand
Thread Synchronization,List the key features of Thread Synchronization in Java.,Remember
Final Keyword,Design a Java program using Final Keyword to model a real-life entity.,Create
Garbage Collection,Develop an innovative Java program that extends the usual use of Garbage Collection.,Create
LinkedList,Evaluate the effectiveness of using LinkedList in a Java application.,Evaluate
Default Methods,Design and build a Java module that applies Default Methods effectively.,Create
Access Modifiers,Construct a Java program that combines Access Modifiers with exception handling to build a robust solution.,Create
Control Statements,Show how Control Statements can be used in a Java program to perform a task.,Apply
String Pool,Show how String Pool can be used in a Java program to perform a task.,Apply
Command Line Arguments,State two characteristics of Command Line Arguments in Java.,Remember
Polymorphism,Analyze the time complexity of operations involving Polymorphism in Java.,Analyze
Operators,Devise a Java program that uses Operators to implement a custom feature.,Create
Data Types,What are the components of Data Types in Java?,Remember
Association,Mention the purpose of Association in Java.,Remember
TreeMap,Describe how TreeMap works in Java.,Understand
Serialization,Design and build a Java module that applies Serialization effectively.,Create
Multithreading,Assess the impact of Multithreading on the maintainability of Java code.,Evaluate
Java Memory Model,"Using Java Memory Model, write a program to solve a simple problem in Java.",Apply
Annotations,Discuss the significance of Annotations in Java.,Understand
Encapsulation,State two characteristics of Encapsulation in Java.,Remember
Is-A Relationship,Apply the concept of Is-A Relationship to complete a partially written Java program.,Apply
Constructor Overloading,Interpret the behaviour of Constructor Overloading in Java with a suitable example.,Understand
Static Keyword,Design and build a Java module that applies Static Keyword effectively.,Create
Method Overriding,Formulate a Java mini-project that showcases Method Overriding.,Create
Queue,State two characteristics of Queue in Java.,Remember
Iterator,Identify the keyword used for Iterator in Java.,Remember
Serialization,Summarize the role of Serialization in Java programming.,Understand
Control Statements,Investigate the common errors that occur while using Control Statements in Java.,Analyze
Switch Statement,Analyze the output of a Java program that uses Switch Statement.,Analyze
Packages,Compare Packages with a related concept in Java and analyze the differences.,Analyze
Arrays,Summarize the role of Arrays in Java programming.,Understand
Data Types,Name the types of Data Types available in Java.,Remember
Iterator,"Recommend, with justification, when Iterator should be used in Java.",Evaluate
Is-A Relationship,Formulate a Java mini-project that showcases Is-A Relationship.,Create
String Buffer and Builder,Show how String Buffer and Builder can be used in a Java program to perform a task.,Apply
Recursion,Why is Recursion used in Java? Explain.,Understand
ClassLoaderBasics,Explain the working of ClassLoaderBasics in Java in your own words.,Understand
Ternary Operator,Name the types of Ternary Operator available in Java.,Remember
Bitwise Operators,Write a Java program to demonstrate Bitwise Operators.,Apply
ClassLoaderBasics,Analyze the time complexity of operations involving ClassLoaderBasics in Java.,Analyze
Try-Catch-Finally,Analyze the output of a Java program that uses Try-Catch-Finally.,Analyze
Autoboxing,Explain the advantages of using Autoboxing in Java.,Understand
Ternary Operator,Show how Ternary Operator can be used in a Java program to perform a task.,Apply
Java I/O,Critique a design decision that relies on Java I/O in Java.,Evaluate
Is-A Relationship,State the syntax of Is-A Relationship in Java.,Remember
Constructors,Develop an innovative Java program that extends the usual use of Constructors.,Create
Functional Interfaces,Name the types of Functional Interfaces available in Java.,Remember
Java I/O,Construct a Java program that combines Java I/O with exception handling to build a robust solution.,Create
Scanner Class,Formulate a Java mini-project that showcases Scanner Class.,Create
Type Casting,Write a Java program to demonstrate Type Casting.,Apply
ClassLoaderBasics,Give reasons why ClassLoaderBasics is important in Java.,Understand
Anonymous Classes,Describe how Anonymous Classes works in Java.,Understand
Exception Handling,Construct a Java program that combines Exception Handling with exception handling to build a robust solution.,Create
Enhanced For Loop,Design a Java program that integrates Enhanced For Loop to solve a real-world problem.,Create
Try-Catch-Finally,Critique a design decision that relies on Try-Catch-Finally in Java.,Evaluate
Math Class,"Using Math Class, write a program to solve a simple problem in Java.",Apply
Static Keyword,"Using Static Keyword, write a program to solve a simple problem in Java.",Apply
Interfaces,Classify the different forms of Interfaces in Java and explain each.,Understand
super Keyword,Create a new Java class hierarchy that demonstrates super Keyword.,Create
Method Overloading,Write a Java program to demonstrate Method Overloading.,Apply
Operators,Construct a Java program that applies Operators to process data.,Apply
Comparable and Comparator,Compare Comparable and Comparator with a related concept in Java and analyze the differences.,Analyze
Iterator,Describe how Iterator works in Java.,Understand
super Keyword,List the key features of super Keyword in Java.,Remember
Final Keyword,Examine the relationship between Final Keyword and memory usage in Java.,Analyze
Runnable Interface,Break down the working of Runnable Interface in Java and analyze each step.,Analyze
Variables,Construct a Java program that combines Variables with exception handling to build a robust solution.,Create
Thread Lifecycle,Design and build a Java module that applies Thread Lifecycle effectively.,Create
Strings,Compare Strings with a related concept in Java and analyze the differences.,Analyze
Bytecode,Devise a Java program that uses Bytecode to implement a custom feature.,Create
Byte Streams,Investigate the common errors that occur while using Byte Streams in Java.,Analyze
LinkedList,Use LinkedList to implement a small Java application.,Apply
Functional Interfaces,Investigate the common errors that occur while using Functional Interfaces in Java.,Analyze
Wrapper Classes,Use Wrapper Classes to implement a small Java application.,Apply
Object Class,Formulate a Java mini-project that showcases Object Class.,Create
Regular Expressions,Demonstrate the use of Regular Expressions through a Java program.,Apply
Multithreading,Write a Java code snippet that makes use of Multithreading.,Apply
Inner Classes,Assess the impact of Inner Classes on the maintainability of Java code.,Evaluate
Labeled Loops,Compare Labeled Loops with a related concept in Java and analyze the differences.,Analyze
String Pool,Summarize the role of String Pool in Java programming.,Understand
Enum,Design a Java program that integrates Enum to solve a real-world problem.,Create
Method Overriding,Differentiate between Method Overriding and a related concept in Java.,Understand
Loops,Justify whether Loops is the best choice for a given Java programming problem.,Evaluate
Runnable Interface,Examine the relationship between Runnable Interface and memory usage in Java.,Analyze
Math Class,Create a new Java class hierarchy that demonstrates Math Class.,Create
Control Statements,Write a Java program to demonstrate Control Statements.,Apply
Thread Synchronization,Investigate the common errors that occur while using Thread Synchronization in Java.,Analyze
Polymorphism,Name the types of Polymorphism available in Java.,Remember
Character Streams,Compare Character Streams with a related concept in Java and analyze the differences.,Analyze
Wrapper Classes,Explain how Wrapper Classes differs from its alternatives in Java.,Understand
Aggregation,Construct a Java program that combines Aggregation with exception handling to build a robust solution.,Create
Labeled Loops,Give reasons why Labeled Loops is important in Java.,Understand
Methods,"Recommend, with justification, when Methods should be used in Java.",Evaluate
Encapsulation,Design and build a Java module that applies Encapsulation effectively.,Create
HashSet,Analyze a given Java code segment using HashSet and explain its behaviour.,Analyze
Wrapper Classes,Judge the suitability of Wrapper Classes for a large-scale Java project.,Evaluate
Variables,What are the components of Variables in Java?,Remember
Strings,"Using Strings, write a program to solve a simple problem in Java.",Apply
super Keyword,Propose and implement an original Java solution using super Keyword.,Create
Collections Framework,Design a Java program that integrates Collections Framework to solve a real-world problem.,Create
Functional Interfaces,Construct a Java program that applies Functional Interfaces to process data.,Apply
Java Memory Model,What are the components of Java Memory Model in Java?,Remember
Default Methods,Judge the suitability of Default Methods for a large-scale Java project.,Evaluate
Serialization,Design a Java program using Serialization to model a real-life entity.,Create
Anonymous Classes,Analyze the output of a Java program that uses Anonymous Classes.,Analyze
equals and hashCode,List the rules for using equals and hashCode in Java.,Remember
Default Methods,Evaluate the correctness and quality of a Java solution that uses Default Methods.,Evaluate
JVM Architecture,Construct a Java program that applies JVM Architecture to process data.,Apply
Dynamic Binding,Evaluate the correctness and quality of a Java solution that uses Dynamic Binding.,Evaluate
Regular Expressions,Apply the concept of Regular Expressions to complete a partially written Java program.,Apply
Is-A Relationship,"Using Is-A Relationship, write a program to solve a simple problem in Java.",Apply
Default Methods,List the rules for using Default Methods in Java.,Remember
Ternary Operator,Critique a design decision that relies on Ternary Operator in Java.,Evaluate
Scanner Class,Analyze a given Java code segment using Scanner Class and explain its behaviour.,Analyze
Stream API,Design a Java program that integrates Stream API to solve a real-world problem.,Create
Static Binding,Create a Java application that uses Static Binding to manage data for a small system.,Create
Java I/O,Assess the impact of Java I/O on the maintainability of Java code.,Evaluate
Constructor Overloading,Examine the relationship between Constructor Overloading and memory usage in Java.,Analyze
Stack,Define Stack in Java.,Remember
Abstract Classes,List the key features of Abstract Classes in Java.,Remember
ClassLoaderBasics,Describe how ClassLoaderBasics works in Java.,Understand
StringTokenizer,Construct a Java program that combines StringTokenizer with exception handling to build a robust solution.,Create
Custom Exceptions,Create a new Java class hierarchy that demonstrates Custom Exceptions.,Create
StringTokenizer,Investigate the common errors that occur while using StringTokenizer in Java.,Analyze
Enum,Show how Enum can be used in a Java program to perform a task.,Apply
Byte Streams,"Determine whether Byte Streams improves or harms the efficiency of a Java program, and justify.",Evaluate
Access Modifiers,Formulate a Java mini-project that showcases Access Modifiers.,Create
Bitwise Operators,Construct a Java program that combines Bitwise Operators with exception handling to build a robust solution.,Create
Control Statements,Break down the working of Control Statements in Java and analyze each step.,Analyze
Date and Time API,Recall the default value associated with Date and Time API in Java.,Remember
Runnable Interface,Analyze a given Java code segment using Runnable Interface and explain its behaviour.,Analyze
Arrays,Apply Arrays to write a Java program that takes user input and produces output.,Apply
Nested Classes,Distinguish between correct and incorrect uses of Nested Classes in Java with analysis.,Analyze
Labeled Loops,Mention the purpose of Labeled Loops in Java.,Remember
Constructor Overloading,Write a Java code snippet that makes use of Constructor Overloading.,Apply
Final Keyword,Discuss the significance of Final Keyword in Java.,Understand
Control Statements,Construct a Java program that combines Control Statements with exception handling to build a robust solution.,Create
Interfaces,Examine the relationship between Interfaces and memory usage in Java.,Analyze
Enhanced For Loop,Summarize the role of Enhanced For Loop in Java programming.,Understand
Jagged Arrays,Create a new Java class hierarchy that demonstrates Jagged Arrays.,Create
Collections Framework,Create a new Java class hierarchy that demonstrates Collections Framework.,Create
Character Streams,Formulate a Java mini-project that showcases Character Streams.,Create
Multithreading,Build a Java solution that uses Multithreading and explain your design choices.,Create
Aggregation,Develop an innovative Java program that extends the usual use of Aggregation.,Create
Queue,Create a Java application that uses Queue to manage data for a small system.,Create
Method Overriding,Interpret the behaviour of Method Overriding in Java with a suitable example.,Understand
this Keyword,Develop an innovative Java program that extends the usual use of this Keyword.,Create
BufferedReader,Recall the default value associated with BufferedReader in Java.,Remember
File Handling,Develop a complete Java application that uses File Handling along with other concepts.,Create
Constructor Overloading,What is Constructor Overloading in Java?,Remember
toString Method,Name the types of toString Method available in Java.,Remember
Autoboxing,Propose and implement an original Java solution using Autoboxing.,Create
equals and hashCode,Give reasons why equals and hashCode is important in Java.,Understand
Abstract Classes,Explain the advantages of using Abstract Classes in Java.,Understand
Bytecode,Construct a Java program that combines Bytecode with exception handling to build a robust solution.,Create
JDK and JRE,What is JDK and JRE in Java?,Remember
Command Line Arguments,Explain the working of Command Line Arguments in Java in your own words.,Understand
Jagged Arrays,Apply Jagged Arrays to write a Java program that takes user input and produces output.,Apply
Association,Summarize the role of Association in Java programming.,Understand
this Keyword,Demonstrate the use of this Keyword through a Java program.,Apply
Polymorphism,Analyze how Polymorphism interacts with other features of Java.,Analyze
Enhanced For Loop,Name the types of Enhanced For Loop available in Java.,Remember
String Buffer and Builder,Analyze how String Buffer and Builder interacts with other features of Java.,Analyze
Bitwise Operators,Develop a Java program that uses Bitwise Operators to handle a given scenario.,Apply
Static Binding,Implement Static Binding in Java with a working code example.,Apply
Default Methods,Explain how Default Methods differs from its alternatives in Java.,Understand
Interfaces,Why is Interfaces used in Java? Explain.,Understand
Math Class,Summarize the role of Math Class in Java programming.,Understand
Scanner Class,Describe how Scanner Class works in Java.,Understand
File Handling,Analyze a given Java code segment using File Handling and explain its behaviour.,Analyze
HashMap,Design a Java program that integrates HashMap to solve a real-world problem.,Create
Data Types,Create a new Java class hierarchy that demonstrates Data Types.,Create
toString Method,Build a Java solution that uses toString Method and explain your design choices.,Create
Jagged Arrays,Develop a Java program that uses Jagged Arrays to handle a given scenario.,Apply
Constructors,Analyze the output of a Java program that uses Constructors.,Analyze
Vector,Construct a Java program that combines Vector with exception handling to build a robust solution.,Create
Immutable Class,Inspect a Java program using Immutable Class and identify the logical flow.,Analyze
equals and hashCode,Write a Java program to demonstrate equals and hashCode.,Apply
Access Modifiers,Design a Java program that integrates Access Modifiers to solve a real-world problem.,Create
Enum,Examine the relationship between Enum and memory usage in Java.,Analyze
Custom Exceptions,Judge the suitability of Custom Exceptions for a large-scale Java project.,Evaluate
String Buffer and Builder,Examine how String Buffer and Builder affects the performance of a Java program.,Analyze
Multithreading,Create a new Java class hierarchy that demonstrates Multithreading.,Create
Recursion,Discuss the significance of Recursion in Java.,Understand
ClassLoaderBasics,Name the types of ClassLoaderBasics available in Java.,Remember
Methods,What is Methods in Java?,Remember
Scanner Class,Differentiate between Scanner Class and a related concept in Java.,Understand
Exception Handling,Create a Java application that uses Exception Handling to manage data for a small system.,Create
Bytecode,State the syntax of Bytecode in Java.,Remember
Constructor Overloading,"Using Constructor Overloading, write a program to solve a simple problem in Java.",Apply
Date and Time API,Write a Java program to demonstrate Date and Time API.,Apply
Generics,Develop a Java program that uses Generics to handle a given scenario.,Apply
Switch Statement,Construct a Java program that applies Switch Statement to process data.,Apply
Aggregation,Recall the default value associated with Aggregation in Java.,Remember
Bitwise Operators,Distinguish between correct and incorrect uses of Bitwise Operators in Java with analysis.,Analyze
Math Class,Develop a Java program that uses Math Class to handle a given scenario.,Apply
HashMap,Why is HashMap used in Java? Explain.,Understand
BufferedReader,What are the components of BufferedReader in Java?,Remember
Association,Examine the relationship between Association and memory usage in Java.,Analyze
Abstract Classes,Discuss the significance of Abstract Classes in Java.,Understand
Is-A Relationship,What is Is-A Relationship in Java?,Remember
Constructor Overloading,Break down the working of Constructor Overloading in Java and analyze each step.,Analyze
Inner Classes,Define Inner Classes in Java.,Remember
Object Class,Recall the default value associated with Object Class in Java.,Remember
Collections Framework,Interpret the behaviour of Collections Framework in Java with a suitable example.,Understand
Jagged Arrays,Evaluate the effectiveness of using Jagged Arrays in a Java application.,Evaluate
Try-Catch-Finally,What are the components of Try-Catch-Finally in Java?,Remember
Stream API,Devise a Java program that uses Stream API to implement a custom feature.,Create
File Handling,Describe how File Handling works in Java.,Understand
Vector,Interpret the behaviour of Vector in Java with a suitable example.,Understand
Anonymous Classes,Construct a Java program that applies Anonymous Classes to process data.,Apply
BufferedReader,Critique a design decision that relies on BufferedReader in Java.,Evaluate
Static Binding,What is Static Binding in Java?,Remember
Interfaces,Assess the impact of Interfaces on the maintainability of Java code.,Evaluate
Classes and Objects,Interpret the behaviour of Classes and Objects in Java with a suitable example.,Understand
Labeled Loops,Write the general form of Labeled Loops in Java.,Remember
ArrayList,Write a Java program to demonstrate ArrayList.,Apply
Bitwise Operators,"Using Bitwise Operators, write a program to solve a simple problem in Java.",Apply
Labeled Loops,Describe how Labeled Loops works in Java.,Understand
Enum,Inspect a Java program using Enum and identify the logical flow.,Analyze
TreeMap,Examine how TreeMap affects the performance of a Java program.,Analyze
Anonymous Classes,Write and execute a Java program illustrating Anonymous Classes.,Apply
Stack,Write the general form of Stack in Java.,Remember
Serialization,Analyze the time complexity of operations involving Serialization in Java.,Analyze
Default Methods,Examine how Default Methods affects the performance of a Java program.,Analyze
Method Overloading,Apply Method Overloading to write a Java program that takes user input and produces output.,Apply
Polymorphism,Evaluate two different approaches to implementing Polymorphism in Java and recommend one.,Evaluate
Control Statements,Write a Java code snippet that makes use of Control Statements.,Apply
Singleton Class,Write a Java code snippet that makes use of Singleton Class.,Apply
Try-Catch-Finally,Evaluate the trade-offs involved in using Try-Catch-Finally in Java.,Evaluate
Polymorphism,Argue for or against the use of Polymorphism in a given Java scenario.,Evaluate
Inner Classes,Construct a Java program that combines Inner Classes with exception handling to build a robust solution.,Create
TreeMap,Construct a Java program that applies TreeMap to process data.,Apply
Constructors,Examine the relationship between Constructors and memory usage in Java.,Analyze
Method Overriding,Explain the working of Method Overriding in Java in your own words.,Understand
Garbage Collection,Construct a Java program that combines Garbage Collection with exception handling to build a robust solution.,Create
Stream API,Give reasons why Stream API is important in Java.,Understand
Character Streams,Give reasons why Character Streams is important in Java.,Understand
String Buffer and Builder,Evaluate the effectiveness of using String Buffer and Builder in a Java application.,Evaluate
Try-Catch-Finally,Analyze how Try-Catch-Finally interacts with other features of Java.,Analyze
Ternary Operator,Design a Java program using Ternary Operator to model a real-life entity.,Create
Packages,Name the types of Packages available in Java.,Remember
Stack,Critically assess the advantages and limitations of Stack in Java.,Evaluate
Date and Time API,Argue for or against the use of Date and Time API in a given Java scenario.,Evaluate
Byte Streams,Demonstrate the use of Byte Streams through a Java program.,Apply
Static Keyword,Analyze the time complexity of operations involving Static Keyword in Java.,Analyze
Generics,Give reasons why Generics is important in Java.,Understand
HashSet,Examine how HashSet affects the performance of a Java program.,Analyze
Stack,List the rules for using Stack in Java.,Remember
Recursion,Inspect a Java program using Recursion and identify the logical flow.,Analyze
Stream API,Classify the different forms of Stream API in Java and explain each.,Understand
Arrays,Show how Arrays can be used in a Java program to perform a task.,Apply
Data Types,Analyze the time complexity of operations involving Data Types in Java.,Analyze
TreeMap,"Recommend, with justification, when TreeMap should be used in Java.",Evaluate
Bitwise Operators,Argue for or against the use of Bitwise Operators in a given Java scenario.,Evaluate
Method Overriding,"Recommend, with justification, when Method Overriding should be used in Java.",Evaluate
Serialization,Justify whether Serialization is the best choice for a given Java programming problem.,Evaluate
Serialization,Construct a Java program that combines Serialization with exception handling to build a robust solution.,Create
equals and hashCode,Critically assess the advantages and limitations of equals and hashCode in Java.,Evaluate
Is-A Relationship,Develop an innovative Java program that extends the usual use of Is-A Relationship.,Create
Type Casting,Evaluate the correctness and quality of a Java solution that uses Type Casting.,Evaluate
Operators,Judge the suitability of Operators for a large-scale Java project.,Evaluate
Object Class,State the syntax of Object Class in Java.,Remember
Multithreading,Judge the suitability of Multithreading for a large-scale Java project.,Evaluate
Regular Expressions,Analyze how Regular Expressions interacts with other features of Java.,Analyze
Throw and Throws,Judge the suitability of Throw and Throws for a large-scale Java project.,Evaluate
Functional Interfaces,Explain the working of Functional Interfaces in Java in your own words.,Understand
Wrapper Classes,Compare Wrapper Classes with a related concept in Java and analyze the differences.,Analyze
Strings,Analyze why a Java program using Strings may produce unexpected results.,Analyze
Multithreading,Evaluate the trade-offs involved in using Multithreading in Java.,Evaluate
Jagged Arrays,Evaluate two different approaches to implementing Jagged Arrays in Java and recommend one.,Evaluate
Stack,"Determine whether Stack improves or harms the efficiency of a Java program, and justify.",Evaluate
Methods,Explain the concept of Methods in Java with an example.,Understand
Enhanced For Loop,What are the components of Enhanced For Loop in Java?,Remember
Bitwise Operators,Critique a design decision that relies on Bitwise Operators in Java.,Evaluate
Interfaces,Create a Java application that uses Interfaces to manage data for a small system.,Create
Loops,Use Loops to implement a small Java application.,Apply
Access Modifiers,Develop a complete Java application that uses Access Modifiers along with other concepts.,Create
Aggregation,Judge the suitability of Aggregation for a large-scale Java project.,Evaluate
Enum,List the key features of Enum in Java.,Remember
Data Types,Distinguish between correct and incorrect uses of Data Types in Java with analysis.,Analyze
String Pool,Critically assess the advantages and limitations of String Pool in Java.,Evaluate
Iterator,Examine the relationship between Iterator and memory usage in Java.,Analyze
Wrapper Classes,Apply the concept of Wrapper Classes to complete a partially written Java program.,Apply
HashSet,Propose and implement an original Java solution using HashSet.,Create
Generics,Argue for or against the use of Generics in a given Java scenario.,Evaluate
Object Class,What is Object Class in Java?,Remember
Default Methods,Write a Java code snippet that makes use of Default Methods.,Apply
Comparable and Comparator,Propose and implement an original Java solution using Comparable and Comparator.,Create
Object Class,Write the general form of Object Class in Java.,Remember
Comparable and Comparator,Inspect a Java program using Comparable and Comparator and identify the logical flow.,Analyze
Custom Exceptions,Analyze the output of a Java program that uses Custom Exceptions.,Analyze
ArrayList,Construct a Java program that applies ArrayList to process data.,Apply
Default Methods,Formulate a Java mini-project that showcases Default Methods.,Create
Stack,Explain the advantages of using Stack in Java.,Understand
Math Class,Construct a Java program that applies Math Class to process data.,Apply
Serialization,Develop a complete Java application that uses Serialization along with other concepts.,Create
Enhanced For Loop,Evaluate two different approaches to implementing Enhanced For Loop in Java and recommend one.,Evaluate
equals and hashCode,"Determine whether equals and hashCode improves or harms the efficiency of a Java program, and justify.",Evaluate
JVM Architecture,Critique a design decision that relies on JVM Architecture in Java.,Evaluate
Switch Statement,Explain the working of Switch Statement in Java in your own words.,Understand
Java I/O,Argue for or against the use of Java I/O in a given Java scenario.,Evaluate
ArrayList,Build a Java solution that uses ArrayList and explain your design choices.,Create
Byte Streams,Describe how Byte Streams works in Java.,Understand
Runnable Interface,Implement Runnable Interface in Java with a working code example.,Apply
Stream API,Name the types of Stream API available in Java.,Remember
Method Overriding,Break down the working of Method Overriding in Java and analyze each step.,Analyze
Character Streams,Name the types of Character Streams available in Java.,Remember
Object Class,Give reasons why Object Class is important in Java.,Understand
Nested Classes,Analyze the output of a Java program that uses Nested Classes.,Analyze
Variable Scope,Show how Variable Scope can be used in a Java program to perform a task.,Apply
Composition,Judge the suitability of Composition for a large-scale Java project.,Evaluate
Method Overriding,Demonstrate the use of Method Overriding through a Java program.,Apply
ClassLoaderBasics,Write a Java program to demonstrate ClassLoaderBasics.,Apply
Labeled Loops,Analyze the time complexity of operations involving Labeled Loops in Java.,Analyze
ArrayList,Use ArrayList to implement a small Java application.,Apply
Recursion,Identify the keyword used for Recursion in Java.,Remember
Method Overriding,Analyze how Method Overriding interacts with other features of Java.,Analyze
JDK and JRE,Apply JDK and JRE to write a Java program that takes user input and produces output.,Apply
HashSet,Identify the keyword used for HashSet in Java.,Remember
Inheritance,Name the types of Inheritance available in Java.,Remember
Operators,"Using Operators, write a program to solve a simple problem in Java.",Apply
Has-A Relationship,Identify the keyword used for Has-A Relationship in Java.,Remember
Inheritance,Examine how Inheritance affects the performance of a Java program.,Analyze
Is-A Relationship,Argue for or against the use of Is-A Relationship in a given Java scenario.,Evaluate
String Pool,Evaluate two different approaches to implementing String Pool in Java and recommend one.,Evaluate
Constructor Overloading,Summarize the role of Constructor Overloading in Java programming.,Understand
Variable Scope,Argue for or against the use of Variable Scope in a given Java scenario.,Evaluate
Strings,Apply the concept of Strings to complete a partially written Java program.,Apply
BufferedReader,Write a Java code snippet that makes use of BufferedReader.,Apply
Encapsulation,Explain how Encapsulation differs from its alternatives in Java.,Understand
Deque,Give reasons why Deque is important in Java.,Understand
File Handling,Show how File Handling can be used in a Java program to perform a task.,Apply
Try-Catch-Finally,"Recommend, with justification, when Try-Catch-Finally should be used in Java.",Evaluate
Association,Explain how Association differs from its alternatives in Java.,Understand
Lambda Expressions,Use Lambda Expressions to implement a small Java application.,Apply
Association,Build a Java solution that uses Association and explain your design choices.,Create
Static Binding,Design and build a Java module that applies Static Binding effectively.,Create
Methods,Explain the advantages of using Methods in Java.,Understand
Labeled Loops,Design a Java program that integrates Labeled Loops to solve a real-world problem.,Create
Multithreading,Break down the working of Multithreading in Java and analyze each step.,Analyze
Garbage Collection,Assess the impact of Garbage Collection on the maintainability of Java code.,Evaluate
String Buffer and Builder,Recall the default value associated with String Buffer and Builder in Java.,Remember
Var-args,Summarize the role of Var-args in Java programming.,Understand
Has-A Relationship,Analyze the time complexity of operations involving Has-A Relationship in Java.,Analyze
Date and Time API,Build a Java solution that uses Date and Time API and explain your design choices.,Create
Constructor Overloading,Discuss the significance of Constructor Overloading in Java.,Understand
LinkedList,Analyze why a Java program using LinkedList may produce unexpected results.,Analyze
Jagged Arrays,Create a Java application that uses Jagged Arrays to manage data for a small system.,Create
Queue,List the key features of Queue in Java.,Remember
JDK and JRE,Create a new Java class hierarchy that demonstrates JDK and JRE.,Create
Method Overriding,Explain the advantages of using Method Overriding in Java.,Understand
super Keyword,Discuss the significance of super Keyword in Java.,Understand
Nested Classes,Propose and implement an original Java solution using Nested Classes.,Create
Method Overloading,Differentiate between Method Overloading and a related concept in Java.,Understand
Recursion,Use Recursion to implement a small Java application.,Apply
Constructor Overloading,Demonstrate the use of Constructor Overloading through a Java program.,Apply
Bytecode,"Using Bytecode, write a program to solve a simple problem in Java.",Apply
Deque,Develop a complete Java application that uses Deque along with other concepts.,Create
Is-A Relationship,Evaluate the trade-offs involved in using Is-A Relationship in Java.,Evaluate
Lambda Expressions,Interpret the behaviour of Lambda Expressions in Java with a suitable example.,Understand
Wrapper Classes,Recall the default value associated with Wrapper Classes in Java.,Remember
Command Line Arguments,Analyze the output of a Java program that uses Command Line Arguments.,Analyze
this Keyword,Recall the default value associated with this Keyword in Java.,Remember
Polymorphism,List the key features of Polymorphism in Java.,Remember
Operators,"Determine whether Operators improves or harms the efficiency of a Java program, and justify.",Evaluate
Variables,Why is Variables used in Java? Explain.,Understand
Date and Time API,Explain the concept of Date and Time API in Java with an example.,Understand
StringTokenizer,Apply StringTokenizer to write a Java program that takes user input and produces output.,Apply
Variables,Justify whether Variables is the best choice for a given Java programming problem.,Evaluate
Object Class,Discuss the significance of Object Class in Java.,Understand
Bytecode,Write and execute a Java program illustrating Bytecode.,Apply
Multithreading,List the key features of Multithreading in Java.,Remember
HashSet,Construct a Java program that applies HashSet to process data.,Apply
Composition,Construct a Java program that applies Composition to process data.,Apply
Labeled Loops,Develop a complete Java application that uses Labeled Loops along with other concepts.,Create
Classes and Objects,Demonstrate the use of Classes and Objects through a Java program.,Apply
ArrayList,Distinguish between correct and incorrect uses of ArrayList in Java with analysis.,Analyze
